,Company_name,Rating,Reviews,Intrviews,Total_jobs,About
51,Cipla Pharmaceutical,4.1,5.7k,334,43,Pharma | 10k-50k Employees | Public | 88 years old | Mumbai +220 more
52,Dr. Reddy's,4.1,5.7k,255,147,Pharma | 10k-50k Employees | Public | 39 years old | Hyderabad/Secunderabad +152 more
53,Sutherland Global Services,3.8,5.6k,343,191,IT Services & Consulting | 10k-50k Employees | 37 years old | Pittsford +49 more
54,UltraTech Cement,4.2,5.5k,344,16,Building Material | 10k-50k Employees | Public | 40 years old | Mumbai +415 more
55,NTT DATA,4.0,5.5k,401,107,IT Services & Consulting | 10k-50k Employees | 35 years old | Chiyoda City +46 more
56,EXL Service,3.8,5.4k,414,227,Analytics & KPO | 10k-50k Employees | 24 years old | New York City +42 more
57,ICICI Prudential Life Insurance,4.1,5.3k,267,229,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +434 more
58,Bandhan Bank,3.8,5.3k,340,25,Banking | 50k-1 Lakh Employees | Public | 22 years old | Kolkata +698 more
59,Jana Small Finance Bank,3.8,5.3k,166,174,Banking | 10k-50k Employees | Public | 17 years old | Bangalore/Bengaluru +333 more
60,Paytm,3.4,5.3k,394,617,FinTech | 10k-50k Employees | Public | 13 years old | Noida +289 more
61,HCL Group,3.7,5.1k,265,2,IT Services & Consulting | 1 Lakh+ Employees | 47 years old | Chennai +70 more
62,Lupin,4.1,5.1k,233,9,Pharma | 10k-50k Employees | Public | 55 years old | Mumbai +157 more
63,Indian Army,4.7,5.1k,111,--,Defence & Aerospace | 1 Lakh+ Employees | Public | 128 years old | New Delhi +311 more
64,Bajaj Finance,4.0,5k,210,147,NBFC | 10k-50k Employees | 36 years old | Pune +725 more
65,TATA Steel,4.1,5k,425,34,Iron & Steel | 1 Lakh+ Employees | Public | 116 years old | Mumbai +155 more
66,Udaan,4.0,5k,288,304,Internet | 1k-5k Employees | Indian Unicorn | 7 years old | Bangalore +329 more
67,L&T Infotech,3.8,4.9k,389,138,IT Services & Consulting | 10k-50k Employees | Public | 27 years old | Mumbai +74 more
68,ITC,3.9,4.9k,378,85,FMCG | 10k-50k Employees | Public | 48 years old | Kolkata +285 more
69,Zydus Lifesciences,4.1,4.9k,198,40,Pharma | 10k-50k Employees | Public | 71 years old | Ahmedabad +139 more
70,Wells Fargo,4.1,4.8k,304,111,Banking | 10k-50k Employees | Public | 171 years old | San Francisco +19 more
71,JP Morgan Chase,4.2,4.7k,385,1.1k,Financial Services | 50k-1 Lakh Employees | Forbes Global 2000 | 23 years old | New York +32 more
72,Delhivery,4.0,4.7k,285,412,10k-50k Employees | Fortune India 500 | 12 years old | Delhi +582 more
73,FIS,3.9,4.7k,289,82,FinTech | 10k-50k Employees | 55 years old | Jacksonville +38 more
74,Hindustan Unilever,4.2,4.6k,229,198,FMCG | 10k-50k Employees | Public | 151 years old | London +403 more
75,Quess,4.0,4.6k,255,239,Recruitment | 1 Lakh+ Employees | Public | 16 years old | Bangalore +475 more
76,Amazon Development Centre India,4.2,4.6k,348,28,Internet | 10k-50k Employees | Hyderabad/Secunderabad +61 more
77,IIFL Finance,3.9,4.6k,209,127,NBFC | 10k-50k Employees | Public | 28 years old | Mumbai +630 more
78,Hexaware Technologies,3.7,4.4k,366,350,IT Services & Consulting | 10k-50k Employees | Fortune India 500 | 33 years old | Mumbai +39 more
79,Sun Pharmaceutical Industries,4.1,4.3k,229,99,Pharma | 10k-50k Employees | Public | 40 years old | Mumbai +185 more
80,Home Credit Finance,4.1,4.2k,93,81,Financial Services | 10k-50k Employees | 11 years old | Gurugram +108 more
81,JSW Steel,3.9,4.2k,336,69,Iron & Steel | 10k-50k Employees | Public | 41 years old | Mumbai +122 more
82,Ujjivan Small Finance Bank,4.1,4.2k,146,89,Banking | 10k-50k Employees | Public | 6 years old | Bangalore/Bengaluru +415 more
83,Max Life Insurance,4.1,4.1k,187,373,Insurance | 10k-50k Employees | 23 years old | Gurgaon/Gurugram +363 more
84,Shapoorji Pallonji Group,4.2,4.1k,227,32,Engineering & Construction | 5k-10k Employees | Conglomerate | 158 years old | Mumbai +153 more
85,KPMG India,3.6,4.1k,484,407,Management Consulting | 10k-50k Employees | 36 years old | Bengaluru/Bangalore +74 more
86,Oracle,3.9,4.1k,499,198,Software Product | 50k-1 Lakh Employees | Public | 46 years old | Austin +40 more
87,OPPO,3.9,4.1k,162,11,Consumer Electronics & Appliances | 10k-50k Employees | Public | 19 years old | Dongguan +355 more
88,Aurobindo Pharma,4.0,4.1k,165,6,Pharma | 10k-50k Employees | Public | 37 years old | Hyderabad/Secunderabad +77 more
89,Muthoot Finance,3.5,4.1k,156,395,NBFC | 10k-50k Employees | Public | 84 years old | Kochi/Cochin +593 more
90,eClerx,3.4,4k,297,140,IT Services & Consulting | 10k-50k Employees | Public | 23 years old | Mumbai +17 more
91,Ashok Leyland,4.1,4k,150,2,Automobile | 10k-50k Employees | Public | 75 years old | Chennai +199 more
92,Capgemini Technology Services India Limited,4.0,4k,349,2,IT Services & Consulting | 1 Lakh+ Employees | Bengaluru/Bangalore +35 more
93,Shriram Transport Finance,4.1,4k,148,1,NBFC | 10k-50k Employees | Public | 44 years old | Mumbai +756 more
94,Tata Projects,4.2,4k,257,32,Engineering & Construction | 5k-10k Employees | Public | 44 years old | Mumbai +230 more
95,Siemens,4.2,4k,238,1.3k,Power | 5k-10k Employees | Public | 176 years old | Munich +120 more
96,Apollo Hospitals,4.1,4k,192,61,Healthcare | 10k-50k Employees | Public | 40 years old | Chennai +173 more
97,JLL,4.2,3.9k,199,32,Real Estate | 10k-50k Employees | Forbes Global 2000 | 26 years old | Mumbai +67 more
98,Vivo,4.0,3.9k,141,4,Consumer Electronics & Appliances | 5k-10k Employees | Conglomerate | 14 years old | Gurgaon/Gurugram +361 more
99,L&T Construction,4.0,3.9k,421,--,Engineering & Construction | 10k-50k Employees | Public | 79 years old | Chennai +322 more
100,First Source,3.8,3.8k,174,100,BPO | 10k-50k Employees | Public | 22 years old | Mumbai +51 more
101,Omega Healthcare,3.8,3.8k,210,84,Healthcare | 10k-50k Employees | 20 years old | Florida +37 more
102,JustDial,3.5,3.8k,220,109,Internet | 10k-50k Employees | Public | 27 years old | Mumbai +164 more
103,Hero MotoCorp,4.1,3.8k,242,7,Automobile | 5k-10k Employees | Public | 39 years old | Gurgaon/Gurugram +299 more
104,Hewlett-Packard Enterprise,4.3,3.8k,171,64,Emerging Technologies | 10k-50k Employees | Forbes Global 2000 | 8 years old | Houston +94 more
105,Megha Engineering & Infrastructures,4.0,3.7k,273,15,Engineering & Construction | 5k-10k Employees | Conglomerate | 34 years old | Hyderabad/Secunderabad +271 more
106,Mahindra & Mahindra Financial Services,4.3,3.7k,89,61,NBFC | 10k-50k Employees | Public | 32 years old | Mumbai +621 more
107,Bajaj Allianz Life Insurance,4.1,3.6k,192,32,Insurance | 10k-50k Employees | 22 years old | Pune +475 more
108,Cyient,3.7,3.6k,169,285,IT Services & Consulting | 10k-50k Employees | Public | 32 years old | Hyderabad/Secunderabad +31 more
109,ICICI Lombard General Insurance Company,3.8,3.6k,156,139,Insurance | 10k-50k Employees | Public | 22 years old | Mumbai +248 more
110,D Mart,3.9,3.5k,230,80,Retail | 10k-50k Employees | Fortune India 500 | 23 years old | Mumbai +201 more
111,Indiamart Intermesh,3.6,3.5k,351,871,Internet | 1k-5k Employees | 27 years old | Noida +130 more
112,BigBasket,4.0,3.5k,240,74,Internet | 10k-50k Employees | Indian Unicorn | 12 years old | Bangalore +103 more
113,Hyundai Motor,4.3,3.5k,179,17,Automobile | 10k-50k Employees | Fortune India 500 | 56 years old | Seoul +259 more
114,TVS Motor,4.0,3.4k,191,19,Automobile | 5k-10k Employees | Public | 44 years old | Chennai +257 more
115,Reliance Communications,3.9,3.4k,60,2,Telecom | 201-500 Employees | Public | 21 years old | Navi Mumbai +407 more
116,Atos Syntel,3.5,3.4k,177,43,IT Services & Consulting | 5k-10k Employees | 43 years old | Troy +21 more
117,UST,3.9,3.4k,258,119,IT Services & Consulting | 10k-50k Employees | 22 years old | Aliso Viejo +34 more
118,IQVIA,4.1,3.4k,264,37,Clinical Research | 10k-50k Employees | Forbes Global 2000 | 41 years old | Durham +41 more
119,GlobalLogic,3.8,3.4k,299,81,IT Services & Consulting | 10k-50k Employees | 23 years old | San Jose +31 more
120,Manappuram Finance,3.9,3.3k,96,6,NBFC | 10k-50k Employees | Public | 74 years old | Thrissur/Trichur +459 more
121,Bosch,4.3,3.3k,202,10,Auto Components | 10k-50k Employees | Public | 137 years old | Gerlingen +92 more
122,Bosch Global Software Technologies,4.2,3.3k,196,22,Software Product | 10k-50k Employees | 33 years old | Gerlingen +27 more
123,Coforge,3.5,3.3k,254,180,IT Services & Consulting | 10k-50k Employees | Public | 19 years old | Noida +81 more
124,SBI Cards & Payment Services,3.7,3.3k,161,139,1k-5k Employees | 25 years old | Gurgaon/Gurugram +307 more
125,Oyo Rooms,3.4,3.3k,158,171,Hospitality | 1k-5k Employees | Indian Unicorn | 10 years old | Gurgaon +111 more
126,Virtusa Consulting Services,3.8,3.3k,278,110,IT Services & Consulting | 10k-50k Employees | 27 years old | Southborough +31 more
127,Cummins,4.4,3.3k,173,49,Auto Components | 5k-10k Employees | Fortune India 500 | 61 years old | Columbus +95 more
128,Nagarro,4.2,3.3k,411,70,IT Services & Consulting | 10k-50k Employees | 27 years old | Munich +35 more
129,BT Group,4.1,3.3k,90,36,Telecom | 10k-50k Employees | Forbes Global 2000 | 177 years old | London +17 more
130,BNY Mellon,4.1,3.3k,185,449,Investment Banking / Venture Capital / Private Equity | 10k-50k Employees | Forbes Global 2000 | 19 years old | New York City +14 more
131,SMFG India Credit,4.1,3.2k,88,53,NBFC | 10k-50k Employees | 16 years old | Mumbai +467 more
132,Amdocs,4.0,3.2k,323,8,Software Product | 10k-50k Employees | Forbes Global 2000 | 41 years old | Chesterfield +14 more
133,Schneider Electric,4.1,3.2k,196,153,Industrial Automation | 10k-50k Employees | Forbes Global 2000 | 24 years old | Paris +102 more
134,CBRE,4.2,3.2k,145,127,Real Estate | 10k-50k Employees | Forbes Global 2000 | 117 years old | Los Angeles +64 more
135,Future Group,4.2,3.2k,65,16,Retail | 10k-50k Employees | Conglomerate | 10 years old | Mumbai +199 more
136,Cholamandalam Investment & Finance,4.1,3.1k,100,20,NBFC | 5k-10k Employees | Fortune India 500 | 45 years old | Chennai +590 more
137,Intelenet Global Services,3.7,3.1k,33,--,BPO | 10k-50k Employees | 23 years old | Mumbai +57 more
138,L&T Technology Services,3.4,3.1k,247,2,IT Services & Consulting | 10k-50k Employees | Public | 11 years old | Vadodara/Baroda +39 more
139,State Bank of India,3.7,3.1k,148,187,Banking | 1 Lakh+ Employees | Fortune India 500 | 217 years old | Mumbai +451 more
140,Swiggy,3.9,3.1k,237,375,Internet | 5k-10k Employees | Indian Unicorn | 9 years old | Bangalore +169 more
141,Dell,4.1,3.1k,232,125,Consumer Electronics & Appliances | 10k-50k Employees | Forbes Global 2000 | 39 years old | Round Rock +88 more
142,JBM Group,4.0,3.1k,172,1,Auto Components | 1k-5k Employees | Public | 40 years old | Gurgaon/Gurugram +83 more
143,Ecom Express,4.0,3k,129,61,Logistics | 10k-50k Employees | 11 years old | Gurgaon +583 more
144,Ekart Logistics,4.0,3k,195,--,Logistics | 5k-10k Employees | 14 years old | San Francisco +521 more
145,SBI Life Insurance Company,3.8,3k,147,8,Insurance | 10k-50k Employees | 22 years old | Mumbai +497 more
146,Bajaj Auto,3.9,3k,175,--,Automobile | 5k-10k Employees | Public | 78 years old | Pune +229 more
147,Optum,4.0,3k,255,32,Healthcare | 10k-50k Employees | 46 years old | Prairie +25 more
148,Nagarjuna Construction Company,4.1,2.9k,186,4,Engineering & Construction | 5k-10k Employees | Public | 25 years old | Hyderabad/Secunderabad +207 more
149,Equitas Small Finance Bank,4.1,2.9k,103,16,Banking | 10k-50k Employees | Fortune India 500 | 16 years old | Chennai +327 more
150,KEC International,4.1,2.9k,190,1,Engineering & Construction | 5k-10k Employees | Public | 78 years old | Mumbai +253 more
151,Aditya Birla Fashion and Retail,4.2,2.9k,111,72,Retail | 10k-50k Employees | Fortune India 500 | 8 years old | Mumbai +215 more
152,Muthoot Fincorp,4.0,2.9k,88,32,NBFC | 10k-50k Employees | Conglomerate | 136 years old | Trivandrum/Thiruvananthapuram +516 more
153,Viatris,4.3,2.9k,93,7,Pharma | 10k-50k Employees | Forbes Global 2000 | 62 years old | Canonsburg +67 more
154,Piramal Capital Housing Finance,4.3,2.9k,124,21,NBFC | 1k-5k Employees | 3 years old | Mumbai +305 more
155,Samvardhana Motherson Group,3.8,2.9k,157,45,Auto Components | 1k-5k Employees | Public | 37 years old | Noida +71 more
156,Royal Enfield,4.2,2.8k,97,13,Automobile | 10k-50k Employees | 122 years old | Gurgaon/Gurugram +283 more
157,Tata Communications,4.1,2.8k,164,435,Telecom | 5k-10k Employees | Public | 37 years old | Mumbai +86 more
158,Godrej & Boyce Manufacturing,3.9,2.8k,121,42,Engineering & Construction | 10k-50k Employees | Fortune India 500 | 126 years old | Mumbai +125 more
159,L&T Finance,4.0,2.8k,75,1,NBFC | 10k-50k Employees | Public | 29 years old | Mumbai +454 more
160,LG Electronics,4.0,2.8k,141,6,Consumer Electronics & Appliances | 10k-50k Employees | Public | 65 years old | Seoul +232 more
161,John Deere,4.3,2.8k,147,12,IT Services & Consulting | 5k-10k Employees | Fortune India 500 | 22 years old | Moline +112 more
162,Intas Pharmaceuticals,4.2,2.8k,132,50,Pharma | 10k-50k Employees | Fortune India 500 | 23 years old | Ahmedabad +110 more
163,Whitehat jr,3.5,2.7k,280,514,EdTech | 5k-10k Employees | Startup | 5 years old | Mumbai +49 more
164,Varun Beverages,4.0,2.7k,140,41,Beverage | 5k-10k Employees | Public | 28 years old | Gurgaon/Gurugram +253 more
165,Thermax Limited,4.2,2.7k,148,47,Industrial Machinery | 1k-5k Employees | Public | 57 years old | Pune +158 more
166,Hetero Drugs,3.8,2.7k,139,26,Pharma | 1k-5k Employees | 30 years old | Hyderabad/Secunderabad +38 more
167,Deutsche Bank,4.1,2.7k,205,658,Banking | 10k-50k Employees | Fortune India 500 | 153 years old | Frankfurt +34 more
168,Randstad,3.9,2.6k,166,2.3k,1k-5k Employees | Conglomerate | 31 years old | Chennai +234 more
169,Ford Motor,4.4,2.6k,75,96,Automobile | 5k-10k Employees | Public | 120 years old | Dearborn +104 more
170,Abbott Healthcare,4.1,2.6k,100,64,Pharma | 10k-50k Employees | Public | 32 years old | Illinois City +166 more
171,Sodexo,4.1,2.6k,98,86,Facility Management Services | 10k-50k Employees | Forbes Global 2000 | 15 years old | Issy les Moulineaux +124 more
172,Havells,4.1,2.6k,123,66,Electrical Equipment | 5k-10k Employees | Public | 40 years old | Noida +167 more
173,Subros,3.9,2.6k,103,2,Auto Components | 1k-5k Employees | Public | 38 years old | Noida +50 more
174,Macleods Pharmaceuticals,3.8,2.6k,110,--,Pharma | 10k-50k Employees | Public | 37 years old | Mumbai +87 more
175,Persistent Systems,3.8,2.6k,288,38,IT Services & Consulting | 10k-50k Employees | Public | 33 years old | Pune +27 more
176,CARS24,3.6,2.6k,208,303,Internet | 5k-10k Employees | Indian Unicorn | 8 years old | Gurgaon +142 more
177,VE Commercial Vehicles,4.0,2.6k,131,11,Automobile | 1k-5k Employees | 15 years old | Gurgaon/Gurugram +121 more
178,UnitedHealth,4.1,2.6k,63,10,Healthcare | 10k-50k Employees | Forbes Global 2000 | 46 years old | Minnetonka +14 more
179,Automatic Data Processing (ADP),4.1,2.6k,140,25,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 74 years old | New Jersey +21 more
180,American Express,4.3,2.6k,206,116,Financial Services | 10k-50k Employees | Forbes Global 2000 | 173 years old | New York City +41 more
181,Standard Chartered Bank,3.9,2.5k,117,30,Banking | 10k-50k Employees | Fortune India 500 | 54 years old | London +56 more
182,Team Lease,3.9,2.5k,125,272,Recruitment | 1k-5k Employees | Public | 7 years old | Bangalore/Bengaluru +279 more
183,Cgi Group,4.2,2.5k,158,149,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 47 years old | Montreal +20 more
