,Company_name,Rating,Reviews,Intrviews,Total_jobs,About
227,Indiabulls Home Loans,3.8,2.2k,83,3,NBFC | 5k-10k Employees | Public | 18 years old | Gurgaon/Gurugram +181 more
228,Shoppers Stop,4.2,2.2k,69,4,Retail | 5k-10k Employees | Public | 32 years old | Mumbai +62 more
229,Cogent E Services,3.3,2.2k,155,2,BPO | 10k-50k Employees | Conglomerate | 19 years old | Noida +32 more
230,GATI-KWE,4.0,2.2k,77,31,Logistics | 1k-5k Employees | 11 years old | Hyderabad/Secunderabad +154 more
231,GeBBS Healthcare Solutions,3.7,2.2k,93,105,BPO | 5k-10k Employees | 18 years old | Culver City +15 more
232,Ceat Tyres,4.0,2.2k,110,1,Auto Components | 5k-10k Employees | Public | 65 years old | Mumbai +103 more
233,Kotak Mahindara Life Insurance,3.9,2.2k,135,183,Insurance | 10k-50k Employees | Public | 22 years old | Mumbai +196 more
234,PNB MetLife,3.4,2.2k,102,673,Insurance | 5k-10k Employees | Conglomerate | 22 years old | Mumbai +303 more
235,Indian Oil Corporation,4.4,2.2k,157,--,Oil & Gas | 10k-50k Employees | Fortune India 500 | 64 years old | Delhi/NCR +233 more
236,Dabur,3.8,2.2k,139,19,FMCG | 5k-10k Employees | Public | 139 years old | Ghaziabad +233 more
237,Reliance Digital,4.2,2.2k,67,2,Retail | 5k-10k Employees | 16 years old | Mumbai +285 more
238,Marpu Foundation,4.9,2.2k,23,--,Non-Profit | 11-50 Employees | 7 years old | Hyderabad/Secunderabad +44 more
239,ACC,3.9,2.2k,133,5,Building Material | 5k-10k Employees | Public | 87 years old | Mumbai +204 more
240,JK Cement,4.1,2.2k,160,--,Building Material | 1k-5k Employees | Public | 49 years old | Gurgaon/Gurugram +216 more
241,S&P Global,4.2,2.2k,127,5,IT Services & Consulting | 5k-10k Employees | Public | 106 years old | New York City +21 more
242,Jubilant Foods Works,3.8,2.2k,98,115,Food Processing | 10k-50k Employees | Public | 28 years old | Noida +181 more
243,IndiGo,3.6,2.1k,258,67,Aviation | 10k-50k Employees | Fortune India 500 | 18 years old | Gurgaon/Gurugram +83 more
244,HARMAN,3.8,2.1k,68,2,Consumer Electronics & Appliances | 5k-10k Employees | Public | 14 years old | Stamford +27 more
245,Torrent Pharmaceuticals,3.9,2.1k,72,17,Pharma | 10k-50k Employees | Public | 52 years old | Ahmedabad +91 more
246,Reliance SMSL,4.0,2.1k,120,1,BPO | 1k-5k Employees | Public | 16 years old | Mumbai +463 more
247,Birlasoft,3.8,2.1k,173,91,IT Services & Consulting | 10k-50k Employees | Public | 28 years old | Pune +32 more
248,ArcelorMittal Nippon Steel,4.0,2.1k,122,4,Iron & Steel | 5k-10k Employees | Conglomerate | Surat +62 more
249,Bajaj Electricals,4.1,2.1k,93,51,Consumer Electronics & Appliances | 1k-5k Employees | Public | 85 years old | Mumbai +183 more
250,Synechron,4.0,2.1k,178,80,IT Services & Consulting | 5k-10k Employees | 22 years old | New York +23 more
251,KPIT Technologies,3.6,2.1k,138,3,Software Product | 5k-10k Employees | Public | 33 years old | Pune +27 more
252,Titan Company,4.4,2.1k,86,91,Retail | 5k-10k Employees | Public | 39 years old | Bangalore +132 more
253,Wipro Enterprises Ltd,3.9,2.1k,109,1,IT Services & Consulting | 501-1k Employees | 78 years old | Bangalore +78 more
254,Lenskart,3.2,2.1k,170,199,Internet | 5k-10k Employees | Indian Unicorn | 13 years old | Faridabad +147 more
255,Simplex Infrastructures,3.3,2.1k,46,13,Engineering & Construction | 1k-5k Employees | Public | 99 years old | Kolkata +129 more
256,UPL,4.1,2.1k,115,59,Agro Chemicals | 5k-10k Employees | Public | 54 years old | Mumbai +147 more
257,Statestreet HCL Services,3.2,2.1k,158,--,BPO | 5k-10k Employees | 11 years old | New Delhi +15 more
258,Dilip Buildcon,4.0,2.1k,93,6,Engineering & Construction | 10k-50k Employees | Public | 36 years old | Bhopal +173 more
259,Domino's Pizza,4.0,2k,59,2,Hospitality | 1k-5k Employees | Public | 63 years old | Ypsilanti +209 more
260,Huawei Technologies,4.0,2k,77,8,IT Services & Consulting | 51-200 Employees | 21 years old | Gurgaon/Gurugram +93 more
261,Tech Mahindra Business Services,3.5,2k,214,4,BPO | 5k-10k Employees | Public | 20 years old | Mumbai +43 more
262,Tata AIG,4.2,2k,98,100,Insurance | 5k-10k Employees | 23 years old | Mumbai +208 more
263,AGS Health,4.0,2k,96,27,BPO | 10k-50k Employees | 12 years old | Washington DC +33 more
264,Apollo Tyres,4.1,2k,91,17,Auto Components | 5k-10k Employees | Public | 51 years old | Gurgaon/Gurugram +146 more
265,KocharTech,4.2,2k,49,60,IT Services & Consulting | 1k-5k Employees | 28 years old | Gurgaon/Gurugram +22 more
266,Patanjali Ayurved,4.0,2k,84,1,FMCG | 5k-10k Employees | Fortune India 500 | 17 years old | Haridwar +261 more
267,Capita,3.8,2k,98,43,IT Services & Consulting | 5k-10k Employees | 18 years old | Indore +19 more
268,Flex,4.1,2k,112,24,Electronics Manufacturing | 5k-10k Employees | Forbes Global 2000 | 54 years old | San Jose +36 more
269,Square Yards,3.8,2k,137,641,Real Estate | 1k-5k Employees | 10 years old | Gurgaon +39 more
270,Alstom Transportation,3.9,2k,157,47,Engineering & Construction | 5k-10k Employees | Forbes Global 2000 | 95 years old | Saint-Ouen +60 more
271,AFCONS Infrastructure,4.4,2k,147,6,Engineering & Construction | 10k-50k Employees | 64 years old | Mumbai +84 more
272,Suzlon Group,4.1,2k,76,8,Power | 5k-10k Employees | Public | 28 years old | Pune +99 more
273,McDonald's,4.2,2k,65,20,Hospitality | 5k-10k Employees | Forbes Global 2000 | 68 years old | Chicago +130 more
274,Lava International,4.1,2k,46,18,Consumer Electronics & Appliances | 1k-5k Employees | Public | 14 years old | Noida +206 more
275,Mankind Pharma,4.1,2k,132,35,Pharma | 10k-50k Employees | Fortune India 500 | 28 years old | New Delhi +179 more
276,IGT Solutions,3.3,2k,121,106,IT Services & Consulting | 5k-10k Employees | 25 years old | Gurgaon/Gurugram +21 more
277,Zensar Technologies,3.8,2k,142,63,IT Services & Consulting | 5k-10k Employees | Public | 22 years old | Pune +21 more
278,EY Global Delivery Services ( EY GDS),3.7,1.9k,293,--,Accounting & Auditing | 50k-1 Lakh Employees | 21 years old | Bangalore/Bengaluru +34 more
279,Taj Hotels Resorts and Palaces,4.2,1.9k,72,33,Hospitality | 10k-50k Employees | 120 years old | Mumbai +90 more
